from	to
"Дендропарк"	Дендропарк
Аллея Молодоженов	Аллея Молодожёнов
бульвар Толбухина	Бульвар Толбухина
городской парк	Городской парк
Детския парк	Детский парк
Лесопарк "АЛЬБА"	Лесопарк Альба
Парк.	Парк
Парк. Алея героев	Алея героев
Парк "Тугановичский"	Тугановичский парк
парк Антония	Парк Антония
Парк Дружбы народов	Парк Дружбы Народов
парк им. Грековой	Парк Грековой
Парк им. Марата Казея	Парк Марата Казея
Парк им. Челюскинцев	Парк Челюскинцев
парк им. Янки Купалы	Парк Янки Купалы
Парк имени 60-летия Октября	Парк 60-летия Октября
Парк имени Михаила Павлова	Парк Михаила Павлова
Парк имени Уго Чавеса	Парк Уго Чавеса
Парк Перамогі	Парк Победы
ПАРК ПОБЕДЫ	Парк Победы
Парк Приднепровский	Приднепровский парк
парк Уручье	Парк Уручье
Сквер Брагинский	Брагинский сквер
Сквер имени А.А. Громыко	Сквер Громыко
Сквер имени Горовца	Сквер Горовца
Сквер имени Маяковского	Сквер Маяковского
Сквер имени Надежды Харченко	Сквер Надежды Харченко
Сквер имени Симона Боливара	Сквер Симона Боливара
сквер Клумова	Сквер Клумова
Сквер Комсомольский	Комсомольский сквер
Сквер Мозырский	Мозырский Сквер
сквер Омара Хайяма	Сквер Омара Хайяма
урочище «Шубино»	Урочище Шубино
урочище Гороховое	Гороховое урочище
урочище Гребля	Урочище Гребля
урочище Подселице	Урочище Подселице
урочище Прудище	Урочище Прудище
Центральный городской парк	Городской парк
Центральный детский парк имени Максима Горького	Парк Горького
